skill_id,title,text,tag1,tag2,tag3
11,How to buy cryptocurrency through an exchange,,skill,beginner,trading
12,Basic overview of crypto currency history,"In 2008, the anonymous Satoshi Nakamoto released the Bitcoin whitepaper to the public. Since this important day in cryptocurrency history, Bitcoin has risen to prices as high as $69,000 dollars, reaching a market capitalization over $1 trillion. How did crypto get to this point, and how far has the space come since these humble beginnings?<br/><br/> Bitcoin was created to serve as a solution for the problem of peer-to-peer (p2p) transactions, and quickly caught on amongst Cypherpunks and avid believers in digital currency. Bitcoin’s innovation came through the novel blockchain technology, which allowed for a verifiable record of all user transactions involving Bitcoin. <br/><br/> As the years went on, the cryptocurrency space saw other coins pop up like Litecoin and Monero, in addition to a multitude of failed projects and exchanges. While many failed, some like Binance were able to cement a place in the wild world of crypto, remaining one of the largest centralized exchanges in the space to this day. <br/><br/> It wasn’t until 2014 when crypto saw a decent competitor to Bitcoin come along. The Ethereum ICO raised around $20 million, and quickly grew in popularity due to the innovative Proof-of-Stake (PoS) technology backing it. As more caught on to the innovations possible with blockchain technology, more coins utilizing PoS were created, ultimately driving more users and speculators to the space. <br/><br/> Since then, Ethereum has risen to become the second largest coin by market capitalization behind Bitcoin, sitting at around $400 billion at the time of writing this. Crypto has experienced two previous market cycles in its relatively short history, and is currently in what many believe to be its third bull run. The total market capitalization has risen to over $2.5 trillion, and is currently around $2.3 trillion. <br/><br/> Many major institutions from the world of traditional finance have caught on to crypto, and it seems as if more hop into the space with each passing month. As more money has been able to flow through various crypto projects and protocols, intelligent developers have created various innovations, whether it be decentralized finance or NFTs. <br/><br/> The speed of innovation in crypto has been accelerating in recent years, and more money than ever is entering the space in new ways every year. Traditional venture funds are allocating a portion of their assets to crypto, helping further mass adoption and incentivizing new ideas. <br/><br/> As time goes on, cryptocurrency will only continue to change and innovate - history has shown that this is something crypto is great at doing. ",skill,beginner,culture
13,Who Satoshi Nakamoto is,"Back in 2008, the anonymous Satoshi Nakamoto penned the now iconic Bitcoin whitepaper. But after 13 years, the world is still wondering who this mysterious Satoshi might be and why they never revealed their identity. <br/><br/> In the Bitcoin whitepaper, Satoshi outlined how he had solved the infamous double-spend problem that had plagued previous attempts in creating internet money. Many had tried and failed at creating what we now know as cryptocurrency - but Satoshi had come up with a solution for a peer-to-peer electronic cash that actually worked. <br/><br/> As Bitcoin began to spread amongst cypherpunks - enthusiasts of cryptography and computer security techniques - many began to wonder who this Satoshi was, and why the genius creator of Bitcoin chose to stay under the radar. <br/><br/> There are very few pieces of evidence to go off of regarding Satoshi, as he only left a very small trail of crumbs - some messages on forums, the whitepaper, the first Bitcoin transaction and a goodbye message in 2011. The truth is, there might not be a single person on the planet who really knows Satoshi’s true identity.<br/><br/> Many have hypothesized as to who Satoshi might really be, suggesting that the most obvious candidates are Craig Wright, Nick Szabo, David Kleiman and Hal Finney. There are interesting ledes that tie these individuals back to the Satoshi identity but, unfortunately, nothing is conclusive. Out of these four, only Wright and Szabo are still alive, and Wright has certainly not shied away from any attention. <br/><br/> For many, the thrill of Satoshi Nakamoto stems from the reality that we might never identify them. Maybe the anonymous Satoshi is still alive somewhere, completely indifferent to the success of Bitcoin and cryptocurrency as a whole. Despite the anonymity, none can deny the debt the cryptocurrency community owes to Satoshi - without him, the world would be a much different place. ",skill,beginner,culture
14,What anons are,"In a world that’s increasingly becoming more digital, our lives are changing at a fast rate. Even money has become digital, with cryptocurrencies reaching a market capitalization of over $3 trillion in 2021. A strange world has built itself around crypto, with a diverse and eccentric community that has formed on Twitter, calling itself ‘Crypto Twitter’ (commonly referred to as CT). <br/><br/> On CT, a majority of participants are anonymous - many of them might work in crypto, regularly participate in work calls and interact with financial institutions, yet maintain the opportunity to withhold their identity. You might find yourself reading about a new DeFi protocol, only to realize it was created by a few teenagers with anime profile pictures. This is the new paradigm of working in web3 - this is what it means to be ‘anon.’ <br/><br/> Because of the flexibility that comes from working in a digital space, anons are able to experience the same things that any other person could, arguably with more benefits. Due to no one knowing the identity behind an anon - except for maybe a few close friends - these individuals are able to operate with impunity online. Nobody has to worry about who said what, or where a person came from in life. As long as anons are able to contribute like anyone else, this is allowed in crypto. <br/><br/> Anons can take on any role in crypto, whether it be a community manager of a project or a shadowy super coder working on new DeFi primitives. You could even maintain anonymity and work as an analyst for a venture fund, so long as you put in the work. Some of the most successful individuals in crypto are anon - just think of Tetranode (crypto whale), Zeus (OlympusDAO) or TzTok-Chad (Dopex). <br/><br/> Whether or not you choose this path is up to you. Not everyone is cut out for the life of an anon, as most of us enjoy recognition and will eventually fold, revealing our identity to the world. However, the benefits of anonymity cannot be understated. The crypto community is very welcoming and willing to accept anyone, so it could be worth it to fire up a new Twitter handle and start shitposting. Just make sure you pick the right anime pfp. ",skill,beginner,culture
15,What are the commonly used crypto exchanges,,skill,coinbase mom,technology
16,The advantages and disadvantages of the most commonly used exchanges,,skill,coinbase mom,technology
17,What tokens are,"When Bitcoin first came to be in 2008, this was the first example of what the world now refers to as cryptocurrency. As the years have gone by, tens of thousands of crypto currencies have popped up, largely thanks to Bitcoin’s innovations. But what are these other tokens and how do they work?<br/><br/> In the cryptocurrency world, any coin that isn’t Bitcoin or Ethereum is referred to as a token. While Bitcoin utilizes proof of work (PoW) algorithms to approve blocks, many tokens do not, instead opting for proof of stake, which is less intensive than PoW. Because Bitcoin was the first cryptocurrency, any token that isn’t as dominant as it is referred to as an alternative - hence the ‘alt’ abbreviation. Because of recent developments in the Ethereum ecosystem and its status as the definite Layer 1 coin, Ethereum isn’t considered an altcoin / token anymore. <br/><br/> At this point, you might be wondering why token exist. After all, if Bitcoin and Ethereum are the two strongest coins, why have any alternatives? <br/><br/> Because of the ever growing crypto ecosystem, new technologies and use cases pop up nearly everyday. Due to this changing and constantly expanding demand, tokens pop up that fill a need in the ecosystem. Just as Bitcoin serves as a digital store of value and Ethereum is used more as a traditional currency, tokens like Solana or Chainlink fill their respective roles. <br/><br/> Due to tokens typically having smaller market caps, they can be more volatile than Bitcoin and Ethereum. Those who wish to speculate on token should know the risks that come, as not all projects have proven themselves and generally carry elevated risk. ",skill,coinbase mom,technology
18,What a hardware wallet is and how it is different from a software wallet,"While most individuals who own cryptocurrencies utilize centralized exchanges like Coinbase or Binance, there are ways to own your coins on a physical wallet. A hardware wallet holds your private keys away from the internet, this way you can interact with the blockchain without having to worry about the risk of malware or phishing. A hardware wallet can interact with most  blockchains, and can be accessed at any time. <br/><br/> Custodial services like Binance and Coinbase may allow you to own crypto, but they don't give you access to your private key. A hardware wallet is non-custodial and allows owners of crypto to feel secure knowing only they have possession over their private keys. If a centralized exchange like Binance were to be hacked (god forbid) anyone who had their money on it would be out of luck. Contrast this with the safety of mind that comes from owning a hardware wallet, and the choice is easy to make. <br/><br/> While a hardware wallet like this might seem like an unnecessary hurdle, it is actually a precaution that everyone should take advantage of. <br/><br/> As more enter the crypto space, it’s important they’re aware of the option of a hardware wallet, as crypto doesn’t optimize for security as much as traditional banks and exchanges do. It’s important to keep your money - and your private keys - safe, so a hardware wallet is definitely something to keep on your radar. ",skill,coinbase mom,technology
19,How to use secondary bank accounts to protect your main bank account from exposure to attack ,,skill,coinbase mom,security
20,How to use hardware and software wallets to ensure the bulk of your assets are secure,,skill,coinbase mom,security
21,"What the main basic security vulnerabilities, threats and risks are associated with operating in the crypto space:   ",,skill,coinbase mom,security
22,Theft of crypto coins,,skill,coinbase mom,security
23,Phishing and spear phishing (beware of flattery),,skill,coinbase mom,security
24,Open Source Intelligence Targeting,,skill,coinbase mom,security
25,Risks of unpatched software,,skill,coinbase mom,security
26,Downloadable Coin miners as carriers for malware etc,,skill,coinbase mom,security
27,How to add and withdraw money from an exchange,"There are tons of different ways to buy cryptocurrency, and thousands of different coins to choose from. If you don’t know anything about crypto and want to dive in, things can be pretty overwhelming. Let’s jump in. <br/><br/> Exchanges like Binance and Coinbase make it easy to deposit money. You can use your bank account, PayPal or even a wire transfer. For most, using a bank account will probably be the easiest and fastest way to send money to an exchange. <br/><br/> Centralized exchanges make the process easier, as most of their users will be entirely new to the crypto space, and won’t have any existing crypto on a wallet to mess around with. Once you’re ready to get started, you can verify your personal info with an exchange and wait for an approval, which could take less than an hour or up to a week - it really just depends on where you’re at and what exchange you’re using.<br/><br/> After this, you can add your bank account info to allow for deposits and withdrawals. Most - if not all - banks are supported, but it might take time for an approval. Once you’re ready, you can deposit whatever amount you feel comfortable investing onto the exchange. From here, your exchange will show you a USD balance (assuming you’re in the United States) and allow you to trade crypto freely. It’s that simple.<br/><br/> Once you’ve had enough and want to take some profits back into USD, you can withdraw just as easily. Just make sure to sell your tokens back into USD and specify the withdrawal amount, then wait a few business days. Voila! Just like that, you have interacted with a centralized exchange, and hopefully made some profits in the process. Happy trading!",skill,coinbase mom,trading
28,How to read a trading chat on an exchange,,skill,coinbase mom,trading
29,Difference in different forms of basic trading (e.g. spot and margin),"Crypto traders often get a lot of slack for their levels of risk tolerance, if they even possess any. While the cryptocurrency market is arguably the most volatile in the world, of course this community of degenerates figured out ways to introduce more risk - and even more gains. <br/><br/> In trading terms, a spot position is one that refers to the direct purchase of assets. Whatever you buy is the most you can lose. Say you wish to buy $100 of Bitcoin with your new wallet. To do so, you could head over to an exchange like Binance and purchase this and receive the coins within minutes or less - easy as that. <br/><br/> On the other hand, margin trading is a bit different - think of it as a means of increasing your risk in order to boost your upside, which can also lead to an increased downside. Margin offers speculators the ability to borrow funds in order to artificially increase a position size. Many exchanges offer leveraged trading up to as much as 25-50x, although levels that high can be very dangerous to the portfolio of an inexperienced investor. <br/><br/> When a margin position goes up, traders can experience big gains very fast. After all, if you’re on 10x leverage and something goes up a lot, you’re going to make much more money had you stayed with spot trading. However, the opposite is also true. When a margin position goes down, a trader can get liquidated, losing their principal investment. These are just some of the ups and downs of margin trading - it’s important to gauge how this strategy might fit into your portfolio and investment thesis before you dive in with all of your money.<br/><br/> Despite crypto’s volatility, traders can’t seem to get enough. Margin trading doesn’t usually work out for inexperienced traders over the long term, despite how easy it can be to 10x a smaller amount on your first or second try. Just like with any risky investment, something like margin should be utilized with only a small portion of funds and typically remain under 5x leverage.<br/><br/> There are benefits to both strategies, as holding spot can often assist investors in downturns due to the minimal risk involved by comparison. You can’t get liquidated holding Bitcoin in a hardware wallet. ",skill,coinbase mom,trading
30,What the definition of a ‘shit coin’ is,"In the world of crypto, it can be very difficult keeping up with every new coin or protocol that pops up everyday. Due to the ‘wild west’ atmosphere of crypto, a term has been crafted to describe a coin with very little - if any - purpose: the ‘shit coin.’<br/><br/> In the simplest of definitions, a shit coin can be described as a coin that possesses no inherent value and is ultimately a vehicle for pure speculation. Shit coins are created everyday, and there are far too many of them to create a comprehensive list. Shit coins typically relate to a popular topic at the time (like Elon Musk or Doge) and hold a very low price due to exorbitant supply, often having too many digits to count.<br/><br/> Shit coins usually see a very brief pump, rising in price some exorbitant amount whether it be from a paid YouTube video or some influencer shilling it. There is no rhyme or reason to shit coins, which has made them such an odd occurrence in the now well-known crypto space. <br/><br/> 2021 saw Dogecoin rise in price to nearly a dollar, becoming one of the top ten cryptocurrencies by market cap. Another shit coin that has done extremely well is the Shiba Inu coin, which saw gains that eclipsed Doge. Because of these projects’ immense successes, many spin offs were created in attempts to replicate the price appreciation of these basically worthless assets. <br/><br/> In the traditional financial markets, companies must go through serious auditing to get listed on the market. Because of the innovations of blockchain technology and smart contracts, shit coins are able to be created at the drop of a hat - it’s that easy. <br/><br/> While most (if not all) shit coins ultimately fail on a long enough time horizon, they’re still very interesting and fun to speculate on. Due to their low liquidity on exchanges, it’s often difficult for anyone to make a profit on it, and shit coin creators regularly rug pull their “investors,” sometimes for millions of dollars.<br/><br/> Because of the challenges that come with speculating on shit coins, those who are thinking of buying should do their due diligence and avoid putting in large sums of money. There are many opportunities for making gains in the crypto market, and shit coins should generally be avoided unless you really know what you’re doing. ",skill,coinbase mom,trading
31,How to use Discord (strategically),"While much of the discussion around crypto comes from Crypto Twitter, a large number of projects and teams utilize the social messaging app Discord to communicate privately. But what is Discord, how can you use it effectively in crypto and what are some of its benefits?<br/><br/> Discord is a communications app, allowing for both text and voice options similar to applications like Telegram or Skype. Used primarily by gaming communities and friend groups, Discord has allowed for coordination of users like never before. Create a Discord server, invite some friends and establish channels - just like that, you’ve set up a “home base” for you and your community. <br/><br/> In crypto, there are a myriad of different communities, whether it be a DAO structure, trading group or team behind a novel DeFi protocol, there’s always a reason to group together. With Discord, this is easy. Creating a Discord server is a huge step up from simply congregating in a Twitter DM. Within your Discord server, moderators can assign roles and create different channels with specific purposes. This could be a channel for the backend developers of a project or a server for the community managers - this level of composability makes operating autonomously even easier. <br/><br/> A major tenet of crypto is decentralization. Where centralized entities and corporations have failed us, those venturing into Web3 have made it their goal to do better and govern themselves more efficiently. Through ease of communication on apps like Discord, crypto as a whole is able to function smoothly and maintain its youthful spirit. Those who operate strictly within the world of Web3 know that email chains are dead - everything interesting happens on Discord and Twitter.<br/><br/> If you’re new to this, you can start by creating a Discord account. The good part is you don’t even have to use your real identity if you wish to do so. Many in the crypto space operate anonymously - something that the community sees no issue with. Once you’re in, you can easily find communities that fit your interest, whether you search on Crypto Twitter or YouTube. <br/><br/> Every Discord server has its own unique set of rules, so it’s important to pay attention to the laws of the land whenever you end up somewhere new. Most users are friendly, so while it can be overwhelming on a new server, simply ask for help and your new community will be happy to help you. <br/><br/> As the world transitions to a more remote existence, Discord will only grow in popularity. It’s important to try and understand it now, so by the time you have to catch that job interview in the metaverse, you’re ready to go!",skill,coinbase mom,culture
32,How to set up an anon twitter account,"Privacy and anonymity have always been a large part of the cypherphunk ethos. For many of the earliest Bitcoin adopters, fortunes beyond their wildest dreams were acquired - which soon led to a problem. If one were to suddenly gain a vast sum of money, how do you keep things under the radar? As the years went on, crypto carved a niche for itself as a “nerdy” sort of digital money for those who were good at computers. Many didn’t see a need for it or viewed it as a scam, even as the price of Bitcoin and other alt coins continued to rise.<br/><br/> Since then, crypto has found its way into the general public, but many still aren’t interested. Many see it as harmful to the environment, due to misconceptions of energy consumption or the supposed environmental impact NFTs cause. So what is one to do if they wish to discuss crypto but don’t want to be condemned for it? Enter the alt account.<br/><br/> On the social media application Twitter, many might see celebrities and well known crypto founders discussing the currencies, but often other accounts - ones that are a little bit different. They may have a strange name - one that isn’t theirs - or a profile picture that is anything but a LinkedIn headshot. These are known as “alt accounts,” Twitter accounts for crypto lovers that are anonymous.<br/><br/> On Crypto Twitter, a vast majority of accounts are anonymous, something the inhabitants don’t seem to pay attention to. It is a field dominated not by status or “who you know” but by what you know and how you market yourself. If you wish to join this unique and burgeoning new way to interact with the community, simply create a new Twitter profile and leave out your personal information - it’s that simple. <br/><br/> Having an alt account is a great way to interact online freely with like minded individuals, all while retaining privacy if you wish to do so.",skill,coinbase mom,culture
33,Good sources of information for news on Developments in the crypto currency space (pentacle links),,skill,coinbase mom,culture
34,What the technological differences are between Ethereum and Bitcoin,,skill,defi virgin,technology
35,What a blockchain is and how it functions at a technical level ,,skill,defi virgin,technology
36,What an NFT is,"You’ve probably heard a ton of buzz online about the NFT craze, but what really is an NFT? Going by the name ‘non-fungible tokens,’ NFTs have taken the public by storm, for better or worse. A form of digital art - or “expensive screenshots” - NFTs are a form of ownership unique to the blockchain that allow purchasers of these non-fungible tokens to claim a digital photo or video as their own.<br/><br/> Due to the immutable nature of the blockchain, once someone buys an NFT, it can be seen as theirs forever - or at least until they sell it. NFTs have provided a new medium for artists to monetize their work, as the decentralized nature of the whole concept has led to many making life changing money through sales of their work. <br/><br/> Where traditional art pieces can make it difficult to determine an owner, blockchains make it easy. Once someone has bought an NFT, the transaction lives forever on the blockchain. No one can make any adjustments to it, and a digital good bought is the same as a physical one, just easier to manage and hold ownership over. <br/><br/> While NFT art has been catching most of the media’s attention, some have suggested NFTs could replace items in video games. Decentraland and The Sandbox are two metaverse blockchain games that offer players in-game NFT items - a novel idea for a group of gamers that have long been controlled by greedy corporations. <br/><br/> There has been a ton of conversation surrounding NFTs, and it doesn’t seem like they’re going anywhere anytime soon. Keep your eye on the space, as a ton of exciting developments are happening everyday. ",skill,defi virgin,technology
37,"How to become an anon on social media (semi duplicate with twitter, but could go into further security eg defi llama post)",,skill,defi virgin,security
38,What a public/private keypair is and how they work within the cryptocurrency ecosystem,,skill,defi virgin,security
39,What the technical vulnerabilities are associated with the Ethereum blockchain,,skill,defi virgin,security
40,How to send crypto currency peer-to-peer,"Bitcoin was created as a solution to solve the issues involving peer-to-peer (p2p) transactions. Due to the innovative blockchain technology, anyone from around the world can utilize the speed and efficiency of crypto to make payments or send money to a friend. In the world of traditional finance, transactions can take 5-7 business days - sometimes longer - and involve a multitude of hoops to jump through. Crypto fixes this. Curious to know how you can send money to family or friends? Let’s dive in. <br/><br/> Because of the innovation that’s occurred in crypto since its inception in 2008, there are now a ton of ways to accomplish these p2p transactions. Some of the easier ways to do this involve linking a bank account to a centralized exchange like Binance or Coinbase and depositing funds. After you’ve done this, you’re free to choose whatever coin you wish to buy, as long as it’s available on the exchange you’re using.<br/><br/> Before sending cryptocurrencies to other addresses (the identifier of a crypto wallet) it’s important to make sure you’re sending money to the right one. For example, Ethereum addresses - which have 64 characters - are different from Bitcoin addresses, which only have 26-35 characters.<br/><br/> When it’s time to send your money, you can ask the recipient of the crypto to send you their address. Websites typically make it easy for you to simply copy the series of letters and digits to your keyboard, that way you don’t make a mistake and type the wrong address. On centralized exchanges there can be small fees associated with this, or transaction fees depending on what blockchain you’re using. <br/><br/> After a short amount of time to allow the blockchain to approve the transaction, you’re all set! Just to be sure, ask the recipient if they see the balance in their wallet. On applications like Metamask, they might need to add that specific token to their wallet to view the balance. If they’re unable to do this, they can use a block explorer like Etherscan to view their token balances. ",skill,defi virgin,trading
41,What a .eth address is and how to set one up,"If you’ve spent any time on Crypto Twitter, you have probably seen an account with a ‘.eth’ at the end of their username. But what is this odd suffix, and how is it of any use to you in a web3 world? <br/><br/> Just as web domains are unique on the internet, the Ethereum Name Service came up with a product that could provide the same utility for crypto users and fans. Based on the Ethereum blockchain, the team set out to create a way to map human identity or personality to an Ethereum address. An address is a series of 64 characters, and belongs to anyone who has interacted with the Ethereum blockchain before. <br/><br/> Some examples of a .eth address could be ‘Sarah.eth’, ‘Adidas.eth’ or even something completely random, like ‘eyfjsiwrh.eth’ - the possibilities are almost endless. ENS domains allow for users to market themselves in a newly forming Web3 world, all while possessing ownership over the domain for as long as they’ve paid for. So, how can you get your hands on one of these .eth addresses, and how can you share it with those in the crypto world? <br/><br/> To start out, you’ll need some Ethereum. You can either purchase this from a centralized exchange like Coinbase or buy some off of a decentralized exchange like Uniswap. After this, you can set up a wallet. Many blockchain enthusiasts use the Metamask wallet, which has its own Google Chrome extension. Depending on what blockchain you’re using, you’ll have to choose your network. By default, Metamask starts on the Ethereum mainnet. <br/><br/> After this, you can navigate to the ENS website and search for one you want. Once you find what you’re looking for, feel free to register the name for as long as you want. It’s that simple. You can use a website like Etherscan to assist you while the transaction processes, and your address will be marked as the owner of the domain. That’s it!<br/><br/> As more users and corporations flock to Crypto, ENS domains could be a way to stake a claim in the Web3 landscape. Just as DNS names took off in the earlier days of the internet, owning an ENS could prove to be a solid decision in the years to come. ",skill,defi virgin,trading
42,What DeFi insurance is,,skill,defi virgin,trading
